,ZIP,severity
0,60601,17902
1,60602,23209
2,60603,3337
3,60604,4421
4,60605,14648
5,60606,5103
6,60607,11546
7,60608,29095
8,60609,11344
9,60611,3046
10,60612,14566
11,60614,4798
12,60615,15115
13,60616,18041
14,60618,23267
15,60621,13810
16,60622,4918
17,60624,15692
18,60625,10995
19,60626,7050
20,60628,4049
21,60630,4235
22,60631,3611
23,60633,5223
24,60636,6576
25,60638,3759
26,60639,13604
27,60641,18965
28,60642,5388
29,60643,10690
30,60644,6644
31,60645,6168
32,60647,4010
33,60651,14526
34,60652,4957
35,60653,14260
36,60655,6437
37,60657,13760
38,60659,4368
39,60660,12880
40,60661,4764
41,60666,4231
42,60707,5128
43,60827,5216
